algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,45000,0.1943,0.0022,0.0154
shamir,46000,0.1984,0.0021,0.0147
shamir,47000,0.2037,0.0020,0.0138
shamir,48000,0.2067,0.0020,0.0145
shamir,49000,0.2109,0.0020,0.0145
shamir,50000,0.2144,0.0022,0.0158
shamir,51000,0.2192,0.0023,0.0161
shamir,52000,0.2216,0.0021,0.0148
shamir,53000,0.2256,0.0022,0.0154
shamir,54000,0.2302,0.0022,0.0157
shamir,55000,0.2344,0.0022,0.0156
shamir,56000,0.2401,0.0021,0.0150
shamir,57000,0.2436,0.0021,0.0149
shamir,58000,0.2476,0.0025,0.0174
shamir,59000,0.2559,0.0033,0.0234
shamir,60000,0.2549,0.0021,0.0149
shamir,61000,0.2584,0.0021,0.0152
shamir,62000,0.2651,0.0030,0.0214
shamir,63000,0.2663,0.0020,0.0139
shamir,64000,0.2705,0.0022,0.0158
shamir,65000,0.2834,0.0034,0.0238
shamir,66000,0.2787,0.0023,0.0163
shamir,67000,0.2840,0.0024,0.0171
shamir,68000,0.2871,0.0023,0.0163
shamir,69000,0.2932,0.0022,0.0157
shamir,70000,0.2952,0.0020,0.0144
shamir,71000,0.3069,0.0031,0.0222
shamir,72000,0.3026,0.0019,0.0136
shamir,73000,0.3087,0.0023,0.0163
shamir,74000,0.3127,0.0024,0.0168
shamir,75000,0.3174,0.0024,0.0167
shamir,76000,0.3277,0.0026,0.0184
shamir,77000,0.3267,0.0022,0.0155
shamir,78000,0.3294,0.0023,0.0165
shamir,79000,0.3416,0.0034,0.0240
shamir,80000,0.3433,0.0033,0.0230
shamir,81000,0.3397,0.0024,0.0168
shamir,82000,0.3433,0.0022,0.0153
shamir,83000,0.3519,0.0030,0.0209
shamir,84000,0.3554,0.0027,0.0194
shamir,85000,0.3564,0.0019,0.0136
shamir,86000,0.3619,0.0027,0.0189
shamir,87000,0.4145,0.0365,0.2583
shamir,88000,0.3678,0.0023,0.0163
shamir,89000,0.3748,0.0027,0.0191
shamir,90000,0.3760,0.0019,0.0138
shamir,91000,0.3836,0.0027,0.0193
shamir,92000,0.3857,0.0022,0.0156
shamir,93000,0.3885,0.0019,0.0131
shamir,94000,0.3955,0.0026,0.0184
shamir,95000,0.4005,0.0021,0.0151
shamir,96000,0.4056,0.0033,0.0235
shamir,97000,0.4090,0.0025,0.0175
shamir,98000,0.4116,0.0022,0.0154
shamir,99000,0.4185,0.0028,0.0201
shamir,100000,0.4313,0.0029,0.0208
shamir,101000,0.4262,0.0027,0.0188
shamir,102000,0.4281,0.0023,0.0160
shamir,103000,0.4316,0.0024,0.0171
shamir,104000,0.4392,0.0025,0.0174
shamir,105000,0.4406,0.0022,0.0153
shamir,106000,0.4435,0.0021,0.0146
shamir,107000,0.4495,0.0024,0.0173
