algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,35000,0.1001,0.0021,0.0146
shamir,36000,0.1027,0.0017,0.0118
shamir,37000,0.1054,0.0019,0.0132
shamir,38000,0.1087,0.0018,0.0126
shamir,39000,0.1108,0.0018,0.0126
shamir,40000,0.1140,0.0021,0.0152
shamir,41000,0.1170,0.0020,0.0142
shamir,42000,0.1207,0.0020,0.0144
shamir,43000,0.1220,0.0021,0.0146
shamir,44000,0.1245,0.0020,0.0138
shamir,45000,0.1271,0.0020,0.0145
shamir,46000,0.1308,0.0019,0.0137
shamir,47000,0.1376,0.0020,0.0144
shamir,48000,0.1354,0.0020,0.0139
shamir,49000,0.1389,0.0021,0.0152
shamir,50000,0.1444,0.0024,0.0170
shamir,51000,0.1453,0.0023,0.0166
shamir,52000,0.1459,0.0022,0.0155
shamir,53000,0.1495,0.0021,0.0148
shamir,54000,0.1534,0.0021,0.0148
shamir,55000,0.1544,0.0022,0.0155
shamir,56000,0.1567,0.0022,0.0156
shamir,57000,0.1584,0.0022,0.0154
shamir,58000,0.1659,0.0024,0.0171
shamir,59000,0.1667,0.0022,0.0158
shamir,60000,0.1676,0.0021,0.0152
shamir,61000,0.1715,0.0022,0.0153
shamir,62000,0.1767,0.0023,0.0165
shamir,63000,0.1761,0.0023,0.0162
shamir,64000,0.1785,0.0020,0.0144
shamir,65000,0.1804,0.0021,0.0152
shamir,66000,0.1876,0.0023,0.0162
shamir,67000,0.1869,0.0023,0.0165
shamir,68000,0.1886,0.0022,0.0158
shamir,69000,0.1928,0.0023,0.0159
shamir,70000,0.1967,0.0023,0.0161
shamir,71000,0.1981,0.0022,0.0157
shamir,72000,0.1999,0.0022,0.0154
shamir,73000,0.2031,0.0023,0.0165
shamir,74000,0.2093,0.0022,0.0157
shamir,75000,0.2088,0.0023,0.0163
shamir,76000,0.2109,0.0026,0.0185
shamir,77000,0.2129,0.0023,0.0162
shamir,78000,0.2201,0.0021,0.0150
shamir,79000,0.2197,0.0023,0.0164
shamir,80000,0.2218,0.0023,0.0163
shamir,81000,0.2251,0.0024,0.0172
shamir,82000,0.2322,0.0023,0.0164
shamir,83000,0.2322,0.0025,0.0174
shamir,84000,0.2431,0.0033,0.0234
shamir,85000,0.2373,0.0024,0.0172
shamir,86000,0.2445,0.0032,0.0223
shamir,87000,0.2418,0.0023,0.0166
shamir,88000,0.2446,0.0024,0.0167
shamir,89000,0.2461,0.0022,0.0158
shamir,90000,0.2526,0.0024,0.0167
shamir,91000,0.2527,0.0023,0.0165
shamir,92000,0.2564,0.0027,0.0193
shamir,93000,0.2580,0.0024,0.0167
shamir,94000,0.2650,0.0024,0.0167
shamir,95000,0.2637,0.0023,0.0164
shamir,96000,0.2654,0.0024,0.0173
shamir,97000,0.2687,0.0024,0.0168
shamir,98000,0.2764,0.0025,0.0178
shamir,99000,0.2772,0.0027,0.0191
shamir,100000,0.2798,0.0030,0.0211
shamir,101000,0.2800,0.0024,0.0171
shamir,102000,0.2851,0.0024,0.0169
shamir,103000,0.2846,0.0023,0.0161
shamir,104000,0.2883,0.0024,0.0170
shamir,105000,0.2950,0.0031,0.0221
shamir,106000,0.2987,0.0024,0.0172
shamir,107000,0.2990,0.0024,0.0167
shamir,108000,0.2999,0.0024,0.0170
shamir,109000,0.3034,0.0021,0.0152
shamir,110000,0.3101,0.0024,0.0168
shamir,111000,0.3085,0.0024,0.0169
shamir,112000,0.3119,0.0028,0.0200
shamir,113000,0.3131,0.0024,0.0171
shamir,114000,0.3206,0.0024,0.0172
shamir,115000,0.3309,0.0032,0.0225
shamir,116000,0.3231,0.0026,0.0183
shamir,117000,0.3254,0.0027,0.0188
shamir,118000,0.3371,0.0029,0.0206
shamir,119000,0.3317,0.0026,0.0185
shamir,120000,0.3330,0.0026,0.0182
shamir,121000,0.3349,0.0028,0.0198
shamir,122000,0.3446,0.0028,0.0197
shamir,123000,0.3456,0.0026,0.0183
shamir,124000,0.3470,0.0027,0.0193
shamir,125000,0.3508,0.0027,0.0192
shamir,126000,0.3606,0.0032,0.0229
shamir,127000,0.3552,0.0026,0.0186
shamir,128000,0.3558,0.0024,0.0166
shamir,129000,0.3581,0.0024,0.0173
shamir,130000,0.3682,0.0026,0.0181
shamir,131000,0.3679,0.0032,0.0229
shamir,132000,0.3704,0.0036,0.0253
shamir,133000,0.3700,0.0029,0.0202
shamir,134000,0.3781,0.0029,0.0202
shamir,135000,0.3748,0.0026,0.0184
shamir,136000,0.3781,0.0027,0.0191
shamir,137000,0.3819,0.0029,0.0202
